t_rel,V,pH_2p,pH_nernst,pH_rx,ADC
321.123,0.507,18.958,40.68867322833827,20.15,629.0
322.755,0.508,18.951999999999998,40.671769729478086,20.15,630.0
323.494,0.506,18.964,40.70557672719845,20.16,628.0
324.363,0.507,18.958,40.68867322833827,20.15,629.0
326.034,0.508,18.951999999999998,40.671769729478086,20.14,631.0
326.76,0.507,18.958,40.68867322833827,20.15,629.0
327.603,0.507,18.958,40.68867322833827,20.15,629.0
329.289,0.507,18.958,40.68867322833827,20.15,629.0
330.011,0.506,18.964,40.70557672719845,20.16,628.0
330.843,0.507,18.958,40.68867322833827,20.15,629.0
332.502,0.508,18.951999999999998,40.671769729478086,20.15,630.0
333.219,0.506,18.964,40.70557672719845,20.16,628.0
334.083,0.504,18.976,40.73938372491881,20.17,626.0
335.8,0.507,18.958,40.68867322833827,20.15,629.0
336.515,0.505,18.97,40.72248022605863,20.16,627.0
337.323,0.505,18.97,40.72248022605863,20.16,627.0
338.965,0.505,18.97,40.72248022605863,20.16,627.0
339.68,0.508,18.951999999999998,40.671769729478086,20.15,630.0
340.563,0.505,18.97,40.72248022605863,20.16,627.0
342.213,0.505,18.97,40.72248022605863,20.16,627.0
342.947,0.505,18.97,40.72248022605863,20.16,627.0
343.803,0.506,18.964,40.70557672719845,20.16,628.0
345.466,0.505,18.97,40.72248022605863,20.16,627.0
346.186,0.506,18.964,40.70557672719845,20.16,628.0
347.043,0.507,18.958,40.68867322833827,20.15,629.0
348.704,0.508,18.951999999999998,40.671769729478086,20.15,630.0
349.422,0.507,18.958,40.68867322833827,20.15,629.0
350.283,0.511,18.934,40.621059232897544,20.13,634.0
351.969,0.512,18.928,40.60415573403737,20.12,635.0
352.67,0.509,18.945999999999998,40.65486623061791,20.14,632.0
353.523,0.508,18.951999999999998,40.671769729478086,20.15,630.0
355.205,0.508,18.951999999999998,40.671769729478086,20.15,630.0
355.935,0.508,18.951999999999998,40.671769729478086,20.15,630.0
356.763,0.508,18.951999999999998,40.671769729478086,20.15,630.0
358.433,0.508,18.951999999999998,40.671769729478086,20.15,630.0
359.148,0.507,18.958,40.68867322833827,20.15,629.0
360.003,0.508,18.951999999999998,40.671769729478086,20.15,630.0
361.658,0.507,18.958,40.68867322833827,20.15,629.0
362.418,0.508,18.951999999999998,40.671769729478086,20.15,630.0
363.243,0.508,18.951999999999998,40.671769729478086,20.15,630.0
364.925,0.507,18.958,40.68867322833827,20.15,629.0
365.655,0.508,18.951999999999998,40.671769729478086,20.15,630.0
366.483,0.507,18.958,40.68867322833827,20.15,629.0
368.146,0.505,18.97,40.72248022605863,20.16,627.0
368.852,0.505,18.97,40.72248022605863,20.16,627.0
369.723,0.506,18.964,40.70557672719845,20.16,628.0
371.395,0.508,18.951999999999998,40.671769729478086,20.15,630.0
372.125,0.508,18.951999999999998,40.671769729478086,20.15,630.0
372.983,0.506,18.964,40.70557672719845,20.16,628.0
374.609,0.506,18.964,40.70557672719845,20.16,628.0
375.323,0.507,18.958,40.68867322833827,20.15,629.0
376.942,0.508,18.951999999999998,40.671769729478086,20.15,630.0
377.67,0.508,18.951999999999998,40.671769729478086,20.15,630.0
378.404,0.508,18.951999999999998,40.671769729478086,20.15,630.0
380.07,0.506,18.964,40.70557672719845,20.16,628.0
380.811,0.508,18.951999999999998,40.671769729478086,20.14,631.0
381.643,0.507,18.958,40.68867322833827,20.15,629.0
383.376,0.506,18.964,40.70557672719845,20.16,628.0
384.002,0.507,18.958,40.68867322833827,20.15,629.0
384.883,0.506,18.964,40.70557672719845,20.16,628.0
