t_rel,V,pH_2p,pH_nernst,pH_rx,ADC
577.332,0.728,17.631999999999998,36.952999980238545,18.7,903.0
579.685,0.732,17.608,36.88538598479782,18.67,908.0
582.031,0.73,17.62,36.91919298251818,18.68,906.0
584.534,0.731,17.614,36.902289483658,18.68,907.0
587.099,0.733,17.602,36.86848248593764,18.67,909.0
589.436,0.733,17.602,36.86848248593764,18.67,909.0
591.769,0.733,17.602,36.86848248593764,18.67,909.0
594.187,0.735,17.59,36.834675488217286,18.65,912.0
596.632,0.735,17.59,36.834675488217286,18.65,912.0
598.976,0.735,17.59,36.834675488217286,18.65,912.0
601.332,0.735,17.59,36.834675488217286,18.65,912.0
603.693,0.735,17.59,36.834675488217286,18.65,912.0
606.21,0.735,17.59,36.834675488217286,18.65,912.0
608.903,0.736,17.584,36.8177719893571,18.65,913.0
611.244,0.737,17.578,36.800868490496924,18.64,914.0
613.606,0.737,17.578,36.800868490496924,18.64,915.0
615.954,0.735,17.59,36.834675488217286,18.65,912.0
618.301,0.737,17.578,36.800868490496924,18.64,914.0
620.697,0.737,17.578,36.800868490496924,18.64,914.0
623.459,0.735,17.59,36.834675488217286,18.65,912.0
625.795,0.738,17.572,36.78396499163674,18.63,916.0
628.204,0.738,17.572,36.78396499163674,18.63,916.0
630.801,0.739,17.566,36.76706149277656,18.63,917.0
633.16,0.736,17.584,36.8177719893571,18.65,913.0
635.512,0.738,17.572,36.78396499163674,18.63,916.0
637.857,0.738,17.572,36.78396499163674,18.63,916.0
640.251,0.739,17.566,36.76706149277656,18.63,917.0
642.625,0.738,17.572,36.78396499163674,18.63,916.0
644.936,0.738,17.572,36.78396499163674,18.63,916.0
647.252,0.74,17.560000000000002,36.75015799391638,18.62,918.0
649.601,0.738,17.572,36.78396499163674,18.63,916.0
651.939,0.737,17.578,36.800868490496924,18.64,915.0
654.276,0.739,17.566,36.76706149277656,18.63,917.0
656.596,0.737,17.578,36.800868490496924,18.64,915.0
658.913,0.737,17.578,36.800868490496924,18.64,915.0
661.269,0.74,17.560000000000002,36.75015799391638,18.62,918.0
663.6,0.74,17.560000000000002,36.75015799391638,18.62,918.0
665.906,0.738,17.572,36.78396499163674,18.63,916.0
668.24,0.738,17.572,36.78396499163674,18.63,916.0
670.571,0.737,17.578,36.800868490496924,18.64,915.0
672.952,0.736,17.584,36.8177719893571,18.65,913.0
675.288,0.738,17.572,36.78396499163674,18.63,916.0
677.606,0.737,17.578,36.800868490496924,18.64,915.0
679.915,0.738,17.572,36.78396499163674,18.63,916.0
682.23,0.737,17.578,36.800868490496924,18.64,915.0
684.581,0.737,17.578,36.800868490496924,18.64,915.0
686.894,0.738,17.572,36.78396499163674,18.63,916.0
689.211,0.737,17.578,36.800868490496924,18.64,915.0
691.54,0.737,17.578,36.800868490496924,18.64,915.0
693.859,0.739,17.566,36.76706149277656,18.63,917.0
696.18,0.741,17.554000000000002,36.7332544950562,18.61,919.0
698.502,0.74,17.560000000000002,36.75015799391638,18.62,918.0
700.819,0.74,17.560000000000002,36.75015799391638,18.62,918.0
703.208,0.739,17.566,36.76706149277656,18.63,917.0
705.559,0.739,17.566,36.76706149277656,18.63,917.0
707.907,0.738,17.572,36.78396499163674,18.63,916.0
710.238,0.74,17.560000000000002,36.75015799391638,18.62,918.0
712.562,0.739,17.566,36.76706149277656,18.63,917.0
713.496,0.739,17.566,36.76706149277656,18.63,917.0
715.354,0.739,17.566,36.76706149277656,18.63,917.0
