t_rel,V,pH_2p,pH_nernst,pH_rx,ADC
137.808,0.657,18.058,38.153148399311306,19.17,815.0
138.647,0.657,18.058,38.153148399311306,19.17,815.0
139.539,0.657,18.058,38.153148399311306,19.17,815.0
140.4,0.657,18.058,38.153148399311306,19.17,815.0
141.305,0.658,18.052,38.136244900451125,19.16,816.0
142.995,0.659,18.046,38.119341401590944,19.15,818.0
143.935,0.657,18.058,38.153148399311306,19.17,815.0
144.852,0.657,18.058,38.153148399311306,19.17,815.0
145.722,0.658,18.052,38.136244900451125,19.16,816.0
146.715,0.657,18.058,38.153148399311306,19.17,815.0
147.796,0.657,18.058,38.153148399311306,19.17,815.0
148.776,0.656,18.064,38.17005189817148,19.17,814.0
149.659,0.658,18.052,38.136244900451125,19.16,816.0
150.523,0.656,18.064,38.17005189817148,19.17,814.0
151.368,0.657,18.058,38.153148399311306,19.17,815.0
152.212,0.657,18.058,38.153148399311306,19.17,815.0
153.043,0.657,18.058,38.153148399311306,19.17,815.0
153.888,0.657,18.058,38.153148399311306,19.17,815.0
154.721,0.657,18.058,38.153148399311306,19.17,815.0
155.601,0.658,18.052,38.136244900451125,19.16,816.0
156.485,0.657,18.058,38.153148399311306,19.17,815.0
157.344,0.658,18.052,38.136244900451125,19.16,816.0
158.185,0.656,18.064,38.17005189817148,19.17,814.0
159.022,0.656,18.064,38.17005189817148,19.17,814.0
159.85,0.658,18.052,38.136244900451125,19.16,816.0
160.67,0.656,18.064,38.17005189817148,19.17,814.0
161.49,0.659,18.046,38.119341401590944,19.15,818.0
162.404,0.657,18.058,38.153148399311306,19.17,815.0
163.366,0.656,18.064,38.17005189817148,19.17,814.0
164.272,0.657,18.058,38.153148399311306,19.17,815.0
165.1,0.656,18.064,38.17005189817148,19.17,814.0
165.922,0.656,18.064,38.17005189817148,19.17,814.0
166.899,0.656,18.064,38.17005189817148,19.17,814.0
167.758,0.658,18.052,38.136244900451125,19.16,816.0
168.596,0.658,18.052,38.136244900451125,19.16,816.0
169.447,0.657,18.058,38.153148399311306,19.17,815.0
170.284,0.658,18.052,38.136244900451125,19.16,816.0
171.126,0.658,18.052,38.136244900451125,19.16,816.0
171.952,0.658,18.052,38.136244900451125,19.16,816.0
172.854,0.656,18.064,38.17005189817148,19.17,814.0
173.83,0.655,18.07,38.18695539703166,19.18,813.0
174.687,0.655,18.07,38.18695539703166,19.18,813.0
175.528,0.658,18.052,38.136244900451125,19.16,816.0
176.388,0.654,18.076,38.20385889589184,19.18,812.0
177.24,0.655,18.07,38.18695539703166,19.18,813.0
178.202,0.654,18.076,38.20385889589184,19.18,812.0
179.057,0.658,18.052,38.136244900451125,19.16,816.0
179.881,0.657,18.058,38.153148399311306,19.17,815.0
180.783,0.656,18.064,38.17005189817148,19.17,814.0
181.629,0.657,18.058,38.153148399311306,19.17,815.0
182.676,0.656,18.064,38.17005189817148,19.17,814.0
183.715,0.656,18.064,38.17005189817148,19.17,814.0
184.715,0.655,18.07,38.18695539703166,19.18,813.0
185.62,0.657,18.058,38.153148399311306,19.17,815.0
186.696,0.655,18.07,38.18695539703166,19.18,813.0
187.814,0.657,18.058,38.153148399311306,19.17,815.0
188.849,0.656,18.064,38.17005189817148,19.17,814.0
189.791,0.656,18.064,38.17005189817148,19.17,814.0
190.974,0.657,18.058,38.153148399311306,19.17,815.0
191.356,0.657,18.058,38.153148399311306,19.17,815.0
