t_rel,V,pH_2p,pH_nernst,pH_rx,ADC
1154.618,0.528,18.832,40.33369975227449,20.01,655.0
1155.557,0.618,18.292,38.812384854858315,19.42,767.0
1156.146,0.62,18.28,38.778577857137954,19.41,769.0
1156.716,0.617,18.298000000000002,38.829288353718496,19.43,766.0
1157.311,0.617,18.298000000000002,38.829288353718496,19.43,766.0
1157.91,0.616,18.304000000000002,38.84619185257867,19.44,764.0
1158.483,0.612,18.328,38.91380584801939,19.46,759.0
1159.034,0.608,18.352,38.98141984346011,19.49,754.0
1159.584,0.603,18.382,39.065937337761014,19.52,748.0
1160.361,0.6,18.4,39.11664783434155,19.54,744.0
1160.991,0.596,18.424,39.184261829782265,19.56,740.0
1161.515,0.59,18.46,39.28568282294335,19.61,732.0
1162.071,0.586,18.484,39.35329681838407,19.63,727.0
1162.592,0.58,18.52,39.454717811545144,19.67,720.0
1163.15,0.575,18.55,39.53923530584604,19.7,714.0
1164.291,0.57,18.58,39.623752800146946,19.74,707.0
1164.877,0.565,18.61,39.70827029444784,19.77,701.0
1165.461,0.56,18.64,39.79278778874874,19.8,695.0
1166.073,0.554,18.676,39.89420878190982,19.84,688.0
1166.671,0.55,18.7,39.961822777350534,19.87,682.0
1167.282,0.545,18.73,40.04634027165144,19.9,676.0
1167.874,0.542,18.748,40.09705076823197,19.92,672.0
1168.478,0.537,18.778,40.18156826253288,19.96,666.0
1169.064,520.0,-3098.0,-8740.560660143026,,
1468.694,0.616,18.304000000000002,38.84619185257867,19.44,764.0
1469.281,0.617,18.298000000000002,38.829288353718496,19.43,766.0
1469.856,0.617,18.298000000000002,38.829288353718496,19.43,766.0
1470.566,0.616,18.304000000000002,38.84619185257867,19.43,765.0
1471.917,0.617,18.298000000000002,38.829288353718496,19.43,766.0
1473.224,0.617,18.298000000000002,38.829288353718496,19.43,766.0
1473.806,0.616,18.304000000000002,38.84619185257867,19.43,765.0
1475.087,0.616,18.304000000000002,38.84619185257867,19.43,765.0
1476.3,0.616,18.304000000000002,38.84619185257867,19.43,765.0
1477.046,0.618,18.292,38.812384854858315,19.42,767.0
1478.27,0.615,18.31,38.86309535143886,19.44,763.0
1479.495,0.619,18.286,38.795481355998135,19.42,768.0
1480.795,0.616,18.304000000000002,38.84619185257867,19.43,765.0
1481.375,0.618,18.292,38.812384854858315,19.42,767.0
1482.749,0.618,18.292,38.812384854858315,19.42,767.0
1483.546,0.617,18.298000000000002,38.829288353718496,19.43,766.0
1484.868,0.616,18.304000000000002,38.84619185257867,19.44,764.0
1486.137,0.614,18.316,38.87999885029903,19.45,762.0
1486.786,0.612,18.328,38.91380584801939,19.46,760.0
1487.995,0.607,18.358,38.99832334232029,19.49,753.0
1489.266,0.604,18.376,39.049033838900826,19.51,750.0
1490.449,0.601,18.394,39.09974433548137,19.53,746.0
1491.106,0.599,18.406,39.13355133320173,19.55,743.0
1492.406,0.593,18.442,39.23497232636281,19.58,736.0
1493.76,0.587,18.478,39.336393319523886,19.63,728.0
1494.367,0.582,18.508,39.42091081382479,19.66,722.0
1495.751,0.579,18.526,39.471621310405325,19.68,718.0
1497.04,0.571,18.574,39.606849301286765,19.73,709.0
1498.132,0.567,18.598,39.67446329672748,19.75,704.0
1498.686,0.563,18.622,39.742077292168204,19.78,699.0
1499.899,0.556,18.664,39.860401784189456,19.83,690.0
1501.219,0.55,18.7,39.961822777350534,19.87,682.0
1501.926,0.545,18.73,40.04634027165144,19.9,676.0
1503.147,0.542,18.748,40.09705076823197,19.92,672.0
1504.469,0.533,18.802,40.249182257973594,19.98,662.0
1506.61,520.0,-3098.0,-8740.560660143026,,
